item_code,item_name_ar,unit,year,month,price
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,1,88.36
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,2,88.34
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,3,88.19
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,4,86.91
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,5,81.56
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,6,80.41
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,7,80.41
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,8,79.86
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,9,79.81
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,10,79.58
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,11,78.42
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2009,12,77.69
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,1,77.6
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,2,77.74
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,3,77.54
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,4,76.42
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,5,76.89
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,6,76.94
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,7,76.65
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,8,76.3
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,9,76.29
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,10,76.14
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,11,76.36
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2010,12,76.07
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,1,76.79
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,2,77.81
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,3,78.36
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,4,78.49
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,5,78.49
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,6,78.48
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,7,78.24
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,8,78.14
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,9,78.66
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,10,78.33
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,11,77.69
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2011,12,78.16
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2012,1,78.27
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2012,2,78.17
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2012,3,78.27
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2012,4,78.17
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2012,5,78.27
01.1.1.1.2.01,أرز بسمتي أبيض هندي (المهيدب),10 كجم,2012,6,78.06
